id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1958,TRON,TRX,tron,840,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89122989643.51263,89123035057.61646,True,,11,71659659264.0,6029745475.809203,,2023-09-25T09:17:00.000Z,0.08414421081176414,147671796.88471428,37.0053,-0.24509138,-0.05168206,0.01734797,8.54613696,1.64983042,12.6731853,7499183628.7383995,0.7203,7499187450.07,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
4943,Dai,DAI,multi-collateral-dai,2612,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-25T09:17:00.000Z,0.9995137407928398,63124728.7527685,9.024,-0.06115173,-0.07473934,-0.07337159,0.00982415,-0.054412,-0.00774387,5345288135.677859,0.5134,5345288135.68,,2023-09-25T09:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-25 09:19:16.369703
6636,Polkadot,DOT,polkadot-new,587,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1249383097.9276936,1359224760.8328736,True,,13,,,,2023-09-25T09:17:00.000Z,4.0340311541922675,86186629.58331618,57.6619,-0.60884254,0.16535638,-2.33061438,-10.0770823,-23.80491131,-20.38153219,5040050340.561564,0.4841,5483155030.75,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
3890,Polygon,MATIC,polygon,966,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-25T09:17:00.000Z,0.51327874252819,171457052.77901956,34.3859,-0.2284622,-1.28922564,-2.24981126,-6.05820011,-29.78966015,-22.1681155,4783485364.91293,0.4595,5132787425.28,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
2,Litecoin,LTC,litecoin,1003,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73690951.72743528,84000000.0,False,,15,,,,2023-09-25T09:17:00.000Z,64.34097191818657,210397916.4726842,8.7196,-0.11330656,-0.76766994,-1.31012866,-1.35514764,-29.58845029,-26.98881473,4741347455.719355,0.4554,5404641641.13,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
1,Bitcoin,BTC,bitcoin,10477,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19495368.0,19495368.0,False,,1,,,,2023-09-25T09:33:00.000Z,26106.343108346722,10949046562.652704,70.5287,-0.07137869,-1.83593984,-2.47933833,0.41374073,-11.518713,-14.07057077,508952766031.4832,48.8839,548233205275.28,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
1027,Ethereum,ETH,ethereum,7433,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120229194.26476291,120229194.26476291,True,,2,,,,2023-09-25T09:33:00.000Z,1576.31635783989,4155936541.575451,116.5618,-0.11216612,-1.11867481,-3.62226697,-4.31018595,-16.26001655,-15.95020334,189519245609.45566,18.2055,189519245609.46,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
825,Tether USDt,USDT,tether,62769,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83203741768.41058,86426198724.99622,True,,3,,,,2023-09-25T09:33:00.000Z,0.9998272981229559,17026170842.12846,59.4278,0.00432372,-0.03095118,-0.05886436,0.03595493,-0.02014156,-0.04063104,83189372326.03009,7.9913,86411272758.25,,2023-09-25T09:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-25 09:35:09.499228
1839,BNB,BNB,bnb,1636,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847301.19327956,153847301.19327956,False,,4,,,,2023-09-25T09:33:00.000Z,209.01537462554404,326779366.08989215,56.5755,-0.04568579,-0.84884407,-4.31442794,-3.6449785,-13.74211982,-12.30231939,32156451294.042236,3.089,32156451294.04,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
52,XRP,XRP,xrp,1098,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53245240268.0,99988414766.0,False,,5,,,,2023-09-25T09:33:00.000Z,0.49484161428450707,690520933.2706591,90.1815,-0.14054737,-2.88066075,0.13254141,-5.08149638,-30.9645047,3.0258183,26347960647.18356,2.531,49484161428.45,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
3408,USDC,USDC,usd-coin,14224,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25711868798.0244,25711868798.0244,False,,6,,,,2023-09-25T09:33:00.000Z,0.9999916365830368,2441191680.833447,68.0094,-0.00487046,-0.00907414,-0.02430882,-0.00186871,-0.00794106,-0.02692113,25711653758.944736,2.4699,25711653758.94,,2023-09-25T09:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-25 09:35:09.499228
2010,Cardano,ADA,cardano,938,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35119971480.54,36198584811.424,False,,7,,,,2023-09-25T09:33:00.000Z,0.2447052622668354,94803235.28356497,49.3125,-0.17633137,-0.45142847,-2.06064125,-5.52199226,-21.8025818,-13.01656997,8594041831.94932,0.8256,11011736802.01,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
74,Dogecoin,DOGE,dogecoin,800,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141149246383.70517,141149246383.70517,True,,8,,,,2023-09-25T09:33:00.000Z,0.06076736112652784,137047793.36997002,27.7499,-0.10331062,-1.40183355,-1.97577861,-3.42825502,-23.16594909,-6.62668817,8577267227.735867,0.8237,8577267227.74,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
5426,Solana,SOL,solana,530,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,412747141.35697895,558282961.8402541,True,,9,,,,2023-09-25T09:33:00.000Z,19.464847557423077,140304438.03353187,48.205,0.04590368,-0.77862742,1.5052506,-4.07559104,-23.34568422,17.59246068,8034060186.275749,0.7718,10866892746.13,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
11419,Toncoin,TON,toncoin,150,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,7517928335.305506,,2023-09-25T09:33:00.000Z,2.201980513222062,26938305.93795478,23.2455,0.27756396,-3.0472091,-8.35096544,54.70642609,61.43907958,50.99096454,7556959500.420221,0.7258,11114625518.0,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
1958,TRON,TRX,tron,840,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89122989643.51263,89123035057.61646,True,,11,71659659264.0,6030436886.148949,,2023-09-25T09:33:00.000Z,0.08415385934131127,147665478.04223922,36.3205,-0.11550525,0.02091829,-0.01792297,8.57854471,1.61401515,12.61334711,7500043534.537303,0.7204,7500047356.31,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
4943,Dai,DAI,multi-collateral-dai,2612,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-25T09:33:00.000Z,0.9996023664033628,64107980.19309613,10.566,-0.01330009,-0.0626258,-0.06119841,0.01817488,-0.05758587,-0.01018032,5345762095.569666,0.5135,5345762095.57,,2023-09-25T09:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-25 09:35:09.499228
6636,Polkadot,DOT,polkadot-new,587,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1249383097.9276936,1359224760.8328736,True,,13,,,,2023-09-25T09:33:00.000Z,4.027624376422017,86839690.7817234,58.7204,-0.50342893,0.0457119,-2.4928737,-10.36098057,-24.10701587,-20.49042481,5032045820.703236,0.4833,5474446779.77,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
3890,Polygon,MATIC,polygon,966,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-25T09:33:00.000Z,0.5129843097127729,172579098.90452945,35.4251,-0.12052623,-1.32872551,-2.31848927,-6.20316315,-30.15443017,-22.25987731,4780741407.3966675,0.4592,5129843097.13,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
2,Litecoin,LTC,litecoin,1003,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73690951.72743528,84000000.0,False,,15,,,,2023-09-25T09:33:00.000Z,64.33511572349114,210017678.1174081,7.9993,-0.01415287,-0.7263259,-1.48146799,-1.38261421,-29.73451042,-27.12943946,4740915907.158748,0.4553,5404149720.77,,2023-09-25T09:33:00.000Z,,,,,,2023-09-25 09:35:09.499228
